iter	RMSE
0	13.95796793
1	13.20560031
2	12.398334
3	11.69965085
4	11.02420451
5	10.47533721
6	9.964431966
7	9.48376032
8	9.069883396
9	8.64729345
10	8.269326481
11	7.949357873
12	7.679320396
13	7.447759695
14	7.182888461
15	6.953220569
16	6.780052426
17	6.629671867
18	6.464904981
19	6.341904442
20	6.234584765
21	6.139456521
22	6.036561976
23	5.950858285
24	5.870467568
25	5.809473248
26	5.738829199
27	5.683395636
28	5.637651619
29	5.580964369
30	5.538087892
31	5.500126806
32	5.460579012
33	5.42027824
34	5.381516438
35	5.351917745
36	5.325687939
37	5.305204537
38	5.279894723
39	5.254701896
40	5.240071756
41	5.217311734
42	5.197916051
43	5.182520934
44	5.163218049
45	5.147476648
46	5.130119824
47	5.11351167
48	5.093776515
49	5.074952357
50	5.063813869
51	5.054905537
52	5.046075557
53	5.026350955
54	5.006196601
55	4.993834529
56	4.977320958
57	4.96040178
58	4.944095134
59	4.931405721
60	4.922506958
61	4.91437681
62	4.903326144
63	4.891143948
64	4.880018534
65	4.8701401
66	4.859339185
67	4.84480038
68	4.833909645
69	4.821746103
70	4.815702252
71	4.800643171
72	4.790337124
73	4.784888712
74	4.778754687
75	4.765673237
76	4.758207154
77	4.747503763
78	4.737769327
79	4.726698502
80	4.724737182
81	4.719175281
82	4.707946061
83	4.700012241
84	4.693959321
85	4.685197304
86	4.672136657
87	4.660677212
88	4.652175174
89	4.643404124
90	4.631863309
91	4.623226913
92	4.61900655
93	4.603041018
94	4.58985061
95	4.583219304
96	4.576700368
97	4.564504198
98	4.552091809
99	4.547337521
