iter	RMSE
0	14.54513411
1	14.20343568
2	13.84447219
3	13.52213952
4	13.24168716
5	12.91646466
6	12.63834503
7	12.355835
8	12.0539591
9	11.7965486
10	11.55045134
11	11.29904352
12	11.05277389
13	10.82778779
14	10.60696162
15	10.38128571
16	10.16764569
17	9.981773593
18	9.821443852
19	9.623455567
20	9.454823763
21	9.282997447
22	9.128004642
23	8.976743055
24	8.836217736
25	8.687032251
26	8.556076327
27	8.415273979
28	8.282181408
29	8.180053115
30	8.048451816
31	7.93051256
32	7.823569904
33	7.740110678
34	7.639793924
35	7.557336824
36	7.453371438
37	7.36232998
38	7.26863831
39	7.192331778
40	7.105847359
41	7.032684313
42	6.960802672
43	6.890728969
44	6.827249663
45	6.755770042
46	6.695824749
47	6.64419212
48	6.580571077
49	6.52479093
50	6.479021744
51	6.422185718
52	6.373231
53	6.322942897
54	6.281481015
55	6.232555499
56	6.185736794
57	6.151322383
58	6.113709895
59	6.076592468
60	6.039994508
61	6.003135723
62	5.970818784
63	5.936729886
64	5.906455916
65	5.877574418
66	5.852687052
67	5.823133413
68	5.796734721
69	5.771171075
70	5.744769448
71	5.7227015
72	5.699132028
73	5.680566822
74	5.658944519
75	5.636712451
76	5.6203952
77	5.602472926
78	5.583793493
79	5.563283945
80	5.545923716
81	5.531454163
82	5.514577358
83	5.501012862
84	5.485672786
85	5.470131432
86	5.456940983
87	5.445624251
88	5.436727388
89	5.421192856
90	5.407415063
91	5.398142674
92	5.387017845
93	5.375444154
94	5.365294582
95	5.352022587
96	5.343251324
97	5.333772633
98	5.324104868
99	5.311925446
100	5.297337091
101	5.286710946
102	5.275903705
103	5.268337441
104	5.260986072
105	5.248152407
106	5.23879065
107	5.228497283
108	5.215256513
109	5.205863212
110	5.198667759
111	5.187123639
112	5.175756333
113	5.173617463
114	5.163043565
115	5.154468005
116	5.149143529
117	5.143390212
118	5.133551398
119	5.128081947
120	5.124004892
121	5.119271477
122	5.112267989
123	5.105098584
124	5.097473753
125	5.090547222
126	5.084769219
127	5.077546634
128	5.072635408
129	5.068649995
130	5.061727758
131	5.057361471
132	5.054024924
133	5.050355178
134	5.045960768
135	5.041746923
136	5.035479717
137	5.029374824
138	5.019783278
139	5.011825366
140	5.004390322
141	4.997723509
142	4.990668465
143	4.98694349
144	4.982747523
145	4.979692713
146	4.971169312
147	4.96474469
148	4.95921321
149	4.955872826
150	4.949345318
151	4.946285901
152	4.940635333
153	4.933836065
154	4.928898227
155	4.926643513
156	4.922509414
157	4.915010171
158	4.913869671
159	4.907731462
160	4.901726142
161	4.897268329
162	4.896468432
163	4.894257145
164	4.891619204
165	4.887264817
166	4.883470878
167	4.880638752
168	4.875586706
169	4.871509222
170	4.866707291
171	4.865639498
172	4.862243825
173	4.855083967
174	4.848219518
175	4.841097401
176	4.837966199
177	4.833598503
178	4.829973637
179	4.825257261
180	4.821656609
181	4.817270723
182	4.812010276
183	4.807776266
184	4.805608004
185	4.8041886
186	4.800219949
187	4.795982144
188	4.792252464
189	4.789515991
190	4.786404855
191	4.777359584
192	4.775986432
193	4.772883525
194	4.770130831
195	4.76865211
196	4.762845903
197	4.757153126
198	4.753097349
199	4.750752247
200	4.743425913
201	4.739724929
202	4.736568947
203	4.732774142
204	4.730788724
205	4.724537546
206	4.718778293
207	4.714250468
208	4.706413243
209	4.703392089
210	4.698827385
211	4.696074397
212	4.689957775
213	4.686625685
214	4.684367244
215	4.67988294
216	4.67773011
217	4.676073973
218	4.67321495
219	4.670006526
220	4.664451953
221	4.659753471
222	4.655715733
223	4.649960004
224	4.648880919
225	4.645533626
226	4.640192222
227	4.638692103
228	4.635309901
229	4.630496135
230	4.628090804
231	4.625263205
232	4.621560816
233	4.620282416
234	4.617633972
235	4.614337985
236	4.611387762
237	4.607067311
238	4.605719502
239	4.602510018
240	4.598541336
241	4.596959083
242	4.594736357
243	4.590601739
244	4.589673496
245	4.585454427
246	4.581450524
247	4.576674882
248	4.572753362
249	4.568572728
250	4.559409626
251	4.5512087
252	4.549311276
253	4.545955332
254	4.541931224
255	4.537715798
256	4.535201579
257	4.528152839
258	4.524281834
259	4.522935216
260	4.517636273
261	4.512497407
262	4.508591506
263	4.505797247
264	4.501371787
265	4.497244608
266	4.492216169
267	4.489678053
268	4.48728963
269	4.485642786
270	4.481402815
271	4.476874608
272	4.470747168
273	4.468777468
274	4.468467483
275	4.466159008
276	4.465371604
277	4.46419507
278	4.459105366
279	4.455810525
280	4.447802508
281	4.446151371
282	4.44389729
283	4.438754686
284	4.435975385
285	4.434702455
286	4.433582603
287	4.431396059
288	4.427367066
289	4.425952909
290	4.424865242
291	4.420603807
292	4.41447669
293	4.410563878
294	4.407778526
295	4.404966875
296	4.400573883
297	4.392790513
298	4.391369633
299	4.389931187
300	4.386057467
301	4.384617705
302	4.384005596
303	4.381284129
304	4.379772766
305	4.376291376
306	4.371870715
307	4.368201633
308	4.367981089
309	4.365460406
310	4.359481557
311	4.356586524
312	4.352152851
313	4.350696251
314	4.348280664
315	4.344689229
316	4.342417363
317	4.338835334
318	4.335498497
319	4.330547834
320	4.32814857
321	4.32480018
322	4.322026145
323	4.319846797
324	4.317844445
325	4.313966526
326	4.313011708
327	4.310707958
328	4.308760966
329	4.305911246
330	4.302381154
331	4.301885868
332	4.299849717
333	4.297201793
334	4.296106068
335	4.294017538
336	4.289622776
337	4.287354473
338	4.286383798
339	4.28392239
340	4.283753761
341	4.27933377
342	4.27590205
343	4.273905875
344	4.269768675
345	4.265053571
346	4.260262727
347	4.253559529
348	4.251035897
349	4.250850881
350	4.24731417
351	4.245339184
352	4.241057379
353	4.236620066
354	4.233428075
355	4.231093687
356	4.227780852
357	4.225590675
358	4.221941142
359	4.217437211
360	4.214412379
361	4.213067067
362	4.210412715
363	4.207731757
364	4.200212471
365	4.197507823
366	4.195657345
367	4.193532234
368	4.187651745
369	4.183876464
370	4.180877994
371	4.178674614
372	4.173704657
373	4.169910348
374	4.165577084
375	4.164515145
376	4.161687764
377	4.158659707
378	4.155271919
379	4.150303652
380	4.147825897
381	4.143506338
382	4.137720887
383	4.135674392
384	4.131825072
385	4.127617336
386	4.126441364
387	4.12470876
388	4.122074677
389	4.115958782
390	4.112985731
391	4.109323047
392	4.105763246
393	4.101343792
394	4.099478146
395	4.09772429
396	4.094731741
397	4.093428152
398	4.089271701
